sector,business_vintage_months,monthly_upi_inflow,monthly_upi_outflow,upi_transaction_count,avg_transaction_value,upi_inflow_growth_rate,cash_flow_volatility,avg_bank_balance,gst_monthly_turnover,gst_filing_regularity,gst_late_filings_count,digital_invoice_count_monthly,on_time_payment_ratio,bounced_payment_count,existing_loan_emi_ratio,financial_health_score,risk_category
grocery_retail,87,50779.99,26282.68,156,324.62,0.57,0.129,3831.02,40017.67,0.3194,5,45,0.7219,0,0.2574,52.56,Medium Risk
wholesale_trade,36,53738.94,39778.07,439,122.25,-15.39,0.2133,14654.36,49703.66,0.9297,0,147,0.8425,2,0.1305,66.11,Medium Risk
wholesale_trade,28,58619.03,50661.29,702,83.41,-5.92,0.0762,4083.35,49844.63,0.7915,1,219,0.7561,0,0.1124,59.77,Medium Risk
electronics_repair,29,67066.43,59378.09,820,81.74,-13.96,0.0663,10007.7,74558.53,0.5924,0,198,0.3908,1,0.3128,49.02,Medium Risk
electronics_repair,37,29332.13,29210.42,20,1407.57,17.63,0.0664,8499.4,27290.72,0.7655,0,2,0.4347,3,0.0958,59.88,Medium Risk
wholesale_trade,95,73887.64,57621.61,177,416.11,1.57,0.0561,4814.22,68494.75,0.964,0,47,0.9158,1,0.5251,72.61,Low Risk
grocery_retail,32,91821.0,63312.88,353,259.91,7.74,0.108,8705.76,103652.35,0.8894,2,106,0.2891,4,0.3168,63.86,Medium Risk
wholesale_trade,40,1278206.28,1089228.94,5198,245.9,15.63,0.1118,139353.44,1032104.65,0.7481,2,1499,0.6975,2,0.2133,63.03,Medium Risk
wholesale_trade,8,59941.8,44212.45,151,395.6,6.71,0.2892,20134.44,38332.91,0.8451,2,38,0.8628,0,0.0583,71.29,Low Risk
manufacturing_small,107,23171.66,17573.16,122,189.92,-5.02,0.201,2863.5,22954.65,0.9264,0,32,0.8189,1,0.2787,69.52,Medium Risk
wholesale_trade,70,96631.31,79309.72,536,180.26,2.95,0.2879,31410.44,75067.37,0.7698,0,170,0.9326,0,0.1647,79.69,Low Risk
restaurant_food,18,70823.8,41519.11,209,337.28,-4.91,0.2851,6777.7,67123.65,0.9013,0,66,0.9553,0,0.428,61.13,Medium Risk
wholesale_trade,27,276882.1,267281.05,273,1012.69,2.68,0.1948,56118.53,304265.04,0.8982,0,70,0.7503,1,0.2379,70.13,Low Risk
pharmacy_medical,30,99298.71,78240.01,184,537.47,11.39,0.02,23597.69,77082.62,0.8909,0,65,0.6634,2,0.1616,67.85,Medium Risk
textile_apparel,48,60860.42,46446.1,27,2234.09,-12.53,0.3943,8325.46,45145.93,0.6103,2,8,0.6288,0,0.2785,45.15,Medium Risk
services_professional,54,42766.91,32118.83,60,703.77,6.16,0.1423,11476.63,48633.05,0.7796,1,23,0.8714,1,0.2675,64.66,Medium Risk
pharmacy_medical,48,37241.09,26876.91,105,354.63,0.76,0.4643,3502.86,39976.1,0.8033,1,27,0.5621,1,0.197,63.83,Medium Risk
grocery_retail,41,93468.59,63803.72,142,657.52,5.33,0.1502,29148.9,65966.9,0.7073,4,28,0.8072,2,0.416,55.45,Medium Risk
pharmacy_medical,53,21189.29,15087.97,40,521.0,11.36,0.1342,4085.88,23616.48,0.5731,2,9,0.8906,0,0.1073,64.43,Medium Risk
pharmacy_medical,23,21158.39,11271.62,253,83.53,-10.34,0.3626,6261.67,18816.86,0.7604,3,73,0.6571,0,0.2682,57.87,Medium Risk
wholesale_trade,38,14372.51,10483.49,106,135.43,15.61,0.4043,3559.01,13005.97,0.7266,0,36,0.8479,2,0.2058,59.76,Medium Risk
wholesale_trade,37,314287.45,249432.28,907,346.33,18.32,0.02,59628.89,189518.54,0.7933,1,253,0.4575,4,0.6434,62.89,Medium Risk
manufacturing_small,3,25285.83,21405.68,100,251.49,8.85,0.2258,1446.12,22409.6,0.765,1,30,0.9654,1,0.2477,71.44,Low Risk
wholesale_trade,21,108563.65,74560.88,554,195.84,31.72,0.1913,15256.39,119055.68,0.9116,0,180,0.8282,1,0.0552,68.07,Medium Risk
services_professional,76,173447.71,98558.1,240,720.82,8.86,0.0301,50080.7,156124.04,0.5818,3,69,0.851,1,0.1707,70.21,Low Risk
services_professional,13,54634.11,39637.68,191,285.96,-2.97,0.2461,11536.85,51590.68,0.517,2,51,0.8714,0,0.528,55.92,Medium Risk
wholesale_trade,54,57306.23,36591.25,260,219.7,-15.63,0.1792,10372.44,65738.74,0.7708,1,82,0.9184,0,0.3358,65.71,Medium Risk
restaurant_food,39,100869.96,87308.53,415,242.93,-6.25,0.21,20348.37,101385.93,0.9182,0,129,0.8362,0,0.2785,64.84,Medium Risk
pharmacy_medical,61,98275.61,75814.61,375,262.07,3.73,0.0887,6975.55,84970.83,0.7006,2,101,0.833,0,0.1786,65.01,Medium Risk
manufacturing_small,23,55069.05,28517.85,331,166.07,-29.0,0.1244,15828.8,47002.11,0.9836,0,101,0.8521,4,0.1722,57.9,Medium Risk
pharmacy_medical,21,104397.21,58666.32,429,242.98,-2.98,0.1114,26558.53,73658.14,0.8384,0,135,0.8879,0,0.0623,74.88,Low Risk
services_professional,15,184591.92,89397.41,359,513.89,18.28,0.1329,14160.53,150881.57,0.4496,6,105,0.8792,0,0.0424,62.39,Medium Risk
pharmacy_medical,32,94787.91,68220.29,242,391.58,4.94,0.0842,11128.75,101012.55,0.7191,1,87,0.5069,3,0.46,57.34,Medium Risk
restaurant_food,12,8327.37,6893.46,58,141.96,4.64,0.1366,1403.42,8600.43,0.6488,1,19,0.8385,0,0.2572,55.4,Medium Risk
manufacturing_small,32,178024.89,141306.01,733,242.69,0.63,0.0345,38997.59,155341.46,0.8008,2,231,0.6596,2,0.0763,68.6,Medium Risk
textile_apparel,43,48625.61,37985.2,58,826.7,2.03,0.0921,10871.85,32947.01,0.7782,0,13,0.3965,4,0.2308,52.97,Medium Risk
services_professional,62,61660.58,40179.85,141,436.13,-0.66,0.3955,9191.15,60262.57,0.656,3,44,0.5592,1,0.1954,56.83,Medium Risk
electronics_repair,60,916770.16,637919.72,2160,424.29,-11.54,0.4484,301059.24,798045.6,0.5866,4,716,0.96,0,0.2098,70.41,Low Risk
grocery_retail,25,70563.22,56668.94,216,326.0,-0.92,0.161,22702.84,61750.96,0.9659,0,58,0.6352,3,0.2626,71.51,Low Risk
electronics_repair,32,77008.34,47431.03,142,539.28,10.94,0.1605,13283.7,77935.97,0.6923,2,48,0.8553,0,0.3922,65.47,Medium Risk
wholesale_trade,47,131933.89,81778.79,121,1084.38,16.29,0.1863,13665.88,144750.91,0.6118,4,36,0.4356,0,0.0506,52.72,Medium Risk
restaurant_food,65,26285.42,12913.43,78,334.79,-2.98,0.0323,2707.4,27689.81,0.6335,2,24,0.3239,4,0.2667,54.42,Medium Risk
services_professional,56,50856.7,32874.67,50,997.7,-12.2,0.4243,15537.57,37274.64,0.6887,1,9,0.4408,3,0.1691,52.37,Medium Risk
textile_apparel,24,59129.36,39136.16,104,566.55,6.86,0.1399,10306.61,52449.64,0.5006,2,27,0.8065,1,0.3286,54.41,Medium Risk
wholesale_trade,51,174320.95,132578.78,328,530.81,7.65,0.1396,60018.96,108652.57,0.6772,1,97,0.6192,0,0.3075,66.87,Medium Risk
services_professional,22,68677.79,40518.73,476,143.99,10.78,0.02,14368.56,78092.82,0.7914,0,149,0.5826,2,0.0898,62.35,Medium Risk
manufacturing_small,57,207534.86,226813.32,398,521.4,11.0,0.0997,54604.03,205972.67,0.5843,2,111,0.73,1,0.457,64.01,Medium Risk
manufacturing_small,16,183536.07,154766.56,486,377.4,-1.62,0.0881,51284.94,195346.58,0.7696,2,127,0.8906,1,0.22,67.35,Medium Risk
grocery_retail,49,77375.73,59030.26,164,468.98,13.27,0.2242,13565.74,57378.34,0.4649,7,50,0.8295,0,0.3484,57.91,Medium Risk
grocery_retail,40,141257.98,91590.36,743,190.01,6.69,0.2312,31965.34,140542.41,0.6167,2,202,0.8618,0,0.085,70.33,Low Risk
grocery_retail,52,493377.1,383912.38,4504,109.54,-8.03,0.025,44868.29,382904.31,0.8104,1,1339,0.8156,2,0.3402,75.71,Low Risk
textile_apparel,28,176597.22,159820.9,126,1400.84,-6.4,0.1516,35726.16,176224.11,0.7663,2,39,0.8555,0,0.5691,57.59,Medium Risk
grocery_retail,20,221114.99,144450.17,1453,152.08,15.31,0.2148,59379.23,137919.67,0.8943,0,435,0.6691,2,0.212,70.92,Low Risk
grocery_retail,9,106375.58,65862.05,169,627.59,14.9,0.1652,11987.24,75416.54,0.5385,2,55,0.9766,0,0.2961,72.86,Low Risk
pharmacy_medical,22,55519.68,38373.72,256,216.37,-29.15,0.1049,16026.18,48240.72,0.7376,0,76,0.8587,0,0.127,68.07,Medium Risk
pharmacy_medical,50,274565.06,211507.58,338,812.22,-6.83,0.0323,14438.05,171874.34,0.6623,0,104,0.4727,1,0.377,65.41,Medium Risk
textile_apparel,42,10221.03,7849.85,20,506.13,18.51,0.4167,3499.45,8476.32,0.6102,1,4,0.7065,4,0.2004,50.58,Medium Risk
electronics_repair,36,138050.21,76039.92,275,500.78,-6.65,0.0516,23645.65,127094.28,0.6867,4,76,0.7472,0,0.0414,62.81,Medium Risk
electronics_repair,53,13696.91,9811.26,11,1193.83,-1.23,0.162,2219.11,15330.67,0.9379,1,5,0.8449,1,0.3809,66.52,Medium Risk
electronics_repair,26,119016.54,77442.86,393,302.66,5.08,0.298,10215.73,77743.28,0.6822,1,106,0.8821,3,0.0228,72.32,Low Risk
pharmacy_medical,20,70810.16,52255.37,190,372.4,5.29,0.2717,8847.58,63031.64,0.8609,0,58,0.8577,0,0.2255,72.69,Low Risk
grocery_retail,46,55469.34,37598.49,41,1332.4,6.59,0.2643,12052.1,56193.48,0.9713,1,19,0.5264,2,0.3668,60.61,Medium Risk
services_professional,66,16988.08,13993.64,27,627.58,9.76,0.2025,3177.17,17232.77,0.4384,6,13,0.7669,2,0.0685,58.95,Medium Risk
pharmacy_medical,45,178959.61,135996.09,165,1082.59,7.71,0.2348,62265.36,148731.47,0.9025,0,51,0.775,0,0.1266,70.55,Low Risk
pharmacy_medical,10,42502.56,29876.44,386,109.97,-4.15,0.1491,12553.16,42932.1,0.4797,3,121,0.8122,2,0.4211,47.31,Medium Risk
services_professional,35,30910.37,28550.27,85,361.59,23.68,0.0979,10558.93,22749.76,0.7345,1,26,0.896,1,0.2656,64.07,Medium Risk
manufacturing_small,55,48149.1,38915.24,141,341.13,8.39,0.4154,3752.39,51251.09,0.734,1,42,0.9548,1,0.3776,63.52,Medium Risk
pharmacy_medical,60,155102.16,138403.41,331,467.6,1.89,0.2015,15282.95,161264.67,0.7792,2,87,0.5177,5,0.1412,62.48,Medium Risk
wholesale_trade,36,31257.65,22561.21,13,2254.7,20.7,0.0711,2679.01,22962.52,0.7124,0,3,0.4864,3,0.1703,56.81,Medium Risk
pharmacy_medical,9,153759.09,129524.73,193,794.26,10.92,0.1234,20164.12,123690.14,0.7518,1,60,0.821,1,0.5241,66.86,Medium Risk
pharmacy_medical,55,58001.89,47492.15,225,257.11,0.88,0.2933,12591.06,64491.79,0.965,0,56,0.8438,0,0.0499,70.08,Low Risk
electronics_repair,55,73736.7,54273.75,50,1464.85,27.09,0.0668,8199.81,69510.8,0.7355,4,22,0.8139,1,0.4059,70.03,Low Risk
grocery_retail,35,53871.43,34651.46,373,144.31,11.59,0.0761,13962.65,49931.37,0.7992,1,94,0.9361,0,0.2167,76.32,Low Risk
services_professional,44,83074.33,58346.15,259,319.67,-5.81,0.2045,10333.13,91606.98,0.8865,0,79,0.6128,1,0.5258,60.03,Medium Risk
wholesale_trade,99,9783.65,7757.3,6,1573.75,22.91,0.4792,667.36,8823.76,0.8656,0,2,0.6582,2,0.0533,68.82,Medium Risk
textile_apparel,37,64932.85,50469.68,52,1236.49,9.07,0.2512,5030.21,50607.98,0.9704,0,11,0.8891,0,0.149,79.38,Low Risk
grocery_retail,36,69705.01,52021.59,260,268.05,5.43,0.1901,23882.42,59495.97,0.4434,3,78,0.7858,1,0.2576,50.7,Medium Risk
restaurant_food,59,225059.58,187367.29,140,1597.65,-14.57,0.1212,52503.61,210395.66,0.4208,4,43,0.3738,1,0.3588,50.74,Medium Risk
services_professional,35,24183.92,19174.35,27,866.19,9.84,0.1668,6368.81,23241.88,0.9237,0,6,0.7999,2,0.1734,69.23,Medium Risk
grocery_retail,37,108199.13,108113.15,484,223.25,14.31,0.1755,28512.11,116004.5,0.9314,0,133,0.8656,2,0.4353,65.49,Medium Risk
pharmacy_medical,96,241743.11,162263.22,146,1651.22,11.1,0.0602,74964.95,193533.02,0.6587,1,30,0.8507,0,0.3169,75.13,Low Risk
textile_apparel,51,120686.92,89897.03,224,538.63,-4.71,0.1972,21121.57,72652.19,0.8786,2,57,0.705,1,0.1959,60.78,Medium Risk
manufacturing_small,47,42301.77,27784.78,16,2618.18,0.84,0.0364,3797.17,47579.32,0.8802,2,5,0.6173,0,0.1429,70.25,Low Risk
grocery_retail,19,53020.05,31099.12,355,149.09,-5.86,0.1602,4880.7,59797.32,0.479,4,111,0.8772,1,0.0882,62.41,Medium Risk
grocery_retail,115,264153.67,200821.39,2095,126.08,-18.13,0.1816,38500.98,195676.19,0.8631,0,676,0.7437,1,0.1114,77.29,Low Risk
restaurant_food,14,86443.92,76755.73,221,390.99,-12.86,0.2926,5001.68,63404.08,0.8927,0,67,0.8089,2,0.2663,50.97,Medium Risk
pharmacy_medical,22,351252.17,295835.98,1285,273.14,19.65,0.0794,80412.07,271547.77,0.7723,2,409,0.7769,2,0.3982,64.91,Medium Risk
manufacturing_small,33,194601.5,166107.58,540,360.25,-4.04,0.3244,16161.85,190821.64,0.6591,4,162,0.8107,0,0.1137,69.23,Medium Risk
electronics_repair,58,59329.95,46324.59,129,456.83,10.47,0.0667,19417.92,62408.41,0.9885,0,40,0.9833,0,0.2928,78.65,Low Risk
services_professional,31,19351.26,13157.57,48,401.1,-3.3,0.235,6410.48,21214.14,0.5327,0,12,0.8334,1,0.0823,59.4,Medium Risk
pharmacy_medical,8,104724.01,88909.91,427,244.9,16.62,0.0338,27227.65,106017.47,0.6695,1,142,0.9202,0,0.2601,67.62,Medium Risk
wholesale_trade,19,102511.65,81568.47,175,582.64,26.53,0.2622,34995.26,113316.41,0.7081,3,50,0.8182,1,0.1772,64.42,Medium Risk
services_professional,81,90462.61,57608.47,262,343.97,13.27,0.1621,13479.59,77709.52,0.627,3,73,0.9623,0,0.1734,76.74,Low Risk
pharmacy_medical,67,92871.84,70651.43,271,341.69,-10.55,0.0641,15426.49,97613.66,0.6151,5,81,0.9234,0,0.1303,71.02,Low Risk
pharmacy_medical,35,132076.51,87529.2,318,414.98,0.25,0.0309,15549.83,126902.57,0.6675,2,99,0.8277,2,0.1011,72.34,Low Risk
electronics_repair,16,15777.03,13587.54,46,338.02,1.46,0.2028,1624.06,9915.75,0.8031,1,10,0.7587,2,0.3868,62.16,Medium Risk
manufacturing_small,39,96577.6,95986.59,490,197.05,6.44,0.075,30276.54,75052.26,0.9007,0,144,0.716,0,0.0392,77.45,Low Risk
textile_apparel,25,13801.67,11778.5,14,929.01,-4.42,0.1942,3464.61,11613.68,0.7063,6,8,0.828,1,0.2965,51.05,Medium Risk
textile_apparel,56,100021.56,72221.36,64,1541.95,-6.88,0.1505,14290.23,71030.21,0.9492,0,17,0.7613,1,0.134,68.66,Medium Risk
restaurant_food,40,28419.91,22228.14,164,172.62,9.13,0.7089,2088.23,28900.53,0.3578,4,46,0.7778,2,0.3063,28.95,High Risk
services_professional,20,109146.67,87823.32,222,491.08,4.55,0.2463,24047.94,73745.6,0.7863,1,71,0.8327,1,0.2177,68.69,Medium Risk
electronics_repair,29,164390.45,108952.9,164,1001.79,0.62,0.0879,41881.42,156746.12,0.7543,1,44,0.8252,0,0.2321,61.88,Medium Risk
manufacturing_small,47,195130.68,124423.41,912,213.9,9.52,0.1419,37096.82,156854.93,0.7435,1,270,0.6883,2,0.1998,71.76,Low Risk
wholesale_trade,21,66904.61,53416.99,137,486.52,0.34,0.0967,10859.31,64741.71,0.6815,3,39,0.7525,0,0.1181,67.99,Medium Risk
manufacturing_small,44,64586.3,45969.9,180,358.27,-12.59,0.14,12860.89,48113.72,0.1724,2,56,0.9225,0,0.2282,62.31,Medium Risk
grocery_retail,17,327030.9,257636.63,546,598.25,4.21,0.0596,50186.08,212471.12,0.7595,0,165,0.8966,0,0.2243,67.07,Medium Risk
manufacturing_small,5,128636.32,71802.25,830,154.83,25.49,0.0875,9545.34,100074.61,0.8935,0,232,0.3284,2,0.1721,62.47,Medium Risk
manufacturing_small,17,73958.72,63353.25,105,701.38,-13.06,0.0375,10684.34,81081.2,0.7456,3,34,0.5526,3,0.1395,56.51,Medium Risk
grocery_retail,64,34683.26,31462.68,33,1030.89,10.2,0.1031,10058.96,39252.81,0.8432,1,8,0.8748,0,0.3792,64.97,Medium Risk
textile_apparel,23,39699.37,34594.0,116,339.68,-3.8,0.0464,5834.31,36725.6,0.9081,1,31,0.5939,3,0.2029,51.59,Medium Risk
manufacturing_small,20,40968.48,33846.74,114,358.44,6.36,0.048,8424.4,35380.4,0.3903,3,34,0.7538,0,0.2433,50.69,Medium Risk
pharmacy_medical,46,51604.05,44064.6,77,664.76,11.06,0.1389,3680.72,43760.68,0.6552,2,24,0.9858,0,0.1204,69.54,Medium Risk
electronics_repair,66,35015.88,19050.4,118,296.21,13.06,0.6005,2482.04,30508.8,0.7405,1,29,0.985,0,0.1936,65.5,Medium Risk
pharmacy_medical,25,175815.76,116958.79,728,241.41,-3.75,0.2522,44895.98,123062.46,0.8072,2,221,0.508,0,0.1016,62.71,Medium Risk
services_professional,80,79609.45,78760.13,214,371.91,-16.8,0.1085,23091.52,62663.95,0.6578,0,84,0.6427,2,0.371,59.02,Medium Risk
restaurant_food,17,105761.52,83593.36,1140,92.76,-5.43,0.338,16563.24,99260.8,0.7144,2,311,0.8464,0,0.0428,64.0,Medium Risk
pharmacy_medical,109,58012.51,43570.96,77,750.99,17.47,0.1135,11956.76,60270.45,0.7555,4,24,0.6403,3,0.2206,66.31,Medium Risk
textile_apparel,42,130184.33,98124.64,584,222.75,-8.58,0.0785,40767.56,115313.67,0.614,0,194,0.9453,0,0.1233,64.9,Medium Risk
grocery_retail,60,47579.53,31120.8,92,512.78,17.9,0.1296,10808.22,32988.47,0.9028,0,25,0.7901,0,0.5409,70.49,Low Risk
restaurant_food,11,231700.41,175854.4,418,553.22,0.86,0.0857,12935.1,173827.04,0.8959,1,121,0.5639,1,0.1835,59.98,Medium Risk
services_professional,157,80027.74,45657.49,182,437.7,-7.2,0.1042,25655.81,84609.26,0.8134,0,50,0.8057,0,0.4379,71.67,Low Risk
restaurant_food,5,116680.27,84715.03,645,180.63,5.07,0.0361,34694.97,97019.81,0.4605,1,182,0.6887,2,0.5256,46.82,Medium Risk
pharmacy_medical,14,96885.58,78184.52,389,248.54,12.67,0.11,29562.63,111212.04,0.7255,3,115,0.7747,0,0.2582,63.24,Medium Risk
wholesale_trade,80,143168.34,94456.25,398,359.46,-6.4,0.3443,40375.44,152876.45,0.9546,0,121,0.9051,0,0.286,76.9,Low Risk
grocery_retail,28,20787.4,13189.68,40,509.38,-21.9,0.1457,2808.95,13278.35,0.6156,3,9,0.7053,0,0.1232,54.5,Medium Risk
services_professional,21,37227.49,35897.52,49,750.53,-4.14,0.2178,11352.81,42427.96,0.8047,2,15,0.6044,1,0.3154,57.4,Medium Risk
textile_apparel,27,194278.59,115222.74,275,704.76,-4.41,0.4236,49065.3,166469.58,0.8323,1,86,0.5174,1,0.3496,54.5,Medium Risk
wholesale_trade,80,94951.36,91657.29,672,141.28,3.91,0.1967,12522.37,108922.68,0.7853,2,183,0.9273,0,0.0773,74.94,Low Risk
grocery_retail,48,23593.22,19518.62,97,241.33,7.82,0.1251,2186.74,15601.03,0.7253,3,28,0.7282,2,0.1588,53.73,Medium Risk
wholesale_trade,33,293991.71,228963.26,894,328.69,13.09,0.2753,64701.33,207730.4,0.8692,0,270,0.8799,0,0.5779,74.01,Low Risk
textile_apparel,141,27027.59,20134.74,63,422.93,14.15,0.4813,3669.74,17280.71,0.9389,0,14,0.861,0,0.359,62.21,Medium Risk
electronics_repair,36,85222.6,61500.89,409,208.25,15.9,0.2053,14419.68,51339.84,0.7957,0,115,0.6193,4,0.1606,68.34,Medium Risk
wholesale_trade,46,31394.67,19419.26,25,1248.73,5.21,0.0886,2003.59,26825.07,0.6867,2,5,0.8575,0,0.293,59.44,Medium Risk
wholesale_trade,47,198487.57,127837.14,740,268.15,23.64,0.2752,14312.69,120266.51,0.4521,3,203,0.4888,2,0.3596,51.07,Medium Risk
electronics_repair,34,61747.01,48180.82,90,683.51,-10.76,0.058,11284.78,58624.7,0.5724,2,30,0.7837,1,0.2488,46.91,Medium Risk
wholesale_trade,54,139177.48,90186.6,860,161.71,3.14,0.1537,27786.6,105589.91,0.9476,1,267,0.4804,5,0.2318,62.03,Medium Risk
textile_apparel,14,42439.28,28934.55,110,385.27,4.81,0.1094,10156.08,29052.0,0.5345,1,33,0.7891,0,0.122,49.61,Medium Risk
electronics_repair,7,215427.21,172003.67,468,460.0,-8.03,0.033,11368.46,173149.03,0.9015,0,134,0.449,4,0.4115,53.22,Medium Risk
pharmacy_medical,30,79708.05,48422.39,174,457.71,-12.22,0.0494,8012.01,68479.74,0.9212,1,35,0.5535,2,0.1364,70.3,Low Risk
electronics_repair,44,11225.94,8514.55,27,410.77,6.2,0.5519,1646.08,10390.75,0.8416,1,7,0.9439,1,0.3732,63.0,Medium Risk
manufacturing_small,50,40076.96,31292.66,319,125.24,12.4,0.0642,5635.44,27240.42,0.4245,3,94,0.3318,3,0.3632,46.54,Medium Risk
wholesale_trade,17,99273.44,72333.37,661,149.99,15.87,0.0889,29620.94,106620.05,0.6815,2,189,0.9391,1,0.3184,63.41,Medium Risk
electronics_repair,20,55852.12,37219.9,102,544.54,6.82,0.0307,18152.41,63510.5,0.927,1,19,0.8912,0,0.499,52.89,Medium Risk
manufacturing_small,33,13390.83,11910.13,18,716.53,19.02,0.144,3037.83,11387.25,0.871,0,6,0.7459,0,0.1366,64.07,Medium Risk
wholesale_trade,39,28464.56,24087.15,139,203.68,1.38,0.1182,6311.93,26603.81,0.7892,2,47,0.8806,0,0.1928,60.98,Medium Risk
wholesale_trade,13,96201.72,77690.23,609,157.88,3.99,0.2173,8350.51,63137.55,0.8275,1,172,0.8074,1,0.3821,57.25,Medium Risk
electronics_repair,54,20325.55,14443.98,53,380.68,-2.13,0.3964,3938.92,12889.99,0.777,1,15,0.7715,1,0.3697,52.72,Medium Risk
services_professional,14,67846.33,51264.37,65,1041.08,11.94,0.0695,22883.06,52001.83,0.8339,2,21,0.7756,2,0.1292,63.58,Medium Risk
wholesale_trade,24,69266.54,76854.59,364,189.79,6.75,0.2336,10673.14,65873.42,0.5932,2,113,0.7221,2,0.2771,48.54,Medium Risk
textile_apparel,56,49349.13,40194.45,201,244.74,-5.39,0.3364,6881.08,31493.58,0.4905,8,68,0.8397,1,0.2533,61.48,Medium Risk
pharmacy_medical,67,33245.28,24546.75,30,1094.91,24.51,0.3957,8610.92,34271.81,0.6157,1,10,0.7359,2,0.2141,62.89,Medium Risk
services_professional,22,359949.11,290708.2,1672,215.25,8.07,0.6458,70848.41,371465.4,0.7136,3,498,0.6805,1,0.1438,64.09,Medium Risk
textile_apparel,8,136655.67,77457.76,535,255.08,-6.09,0.1525,37478.06,95112.87,0.7597,0,136,0.58,2,0.2502,50.88,Medium Risk
pharmacy_medical,50,43988.21,34554.52,54,807.55,-5.92,0.1494,7031.38,47776.06,0.8106,1,18,0.7616,1,0.213,67.95,Medium Risk
restaurant_food,30,178658.06,160259.74,706,252.9,-4.02,0.1985,14837.23,203600.79,0.7901,1,209,0.764,2,0.3288,61.69,Medium Risk
electronics_repair,70,75182.76,46596.15,130,574.7,13.33,0.3548,10301.12,85284.84,0.4442,1,32,0.8699,0,0.545,50.23,Medium Risk
textile_apparel,65,39847.57,27067.95,104,382.47,7.88,0.2135,12305.65,31053.01,0.859,2,28,0.9323,0,0.3261,64.63,Medium Risk
wholesale_trade,34,113271.15,95919.55,99,1134.29,8.46,0.2851,36600.59,102106.33,0.8826,1,33,0.559,2,0.1196,62.69,Medium Risk
